,Date,Open,High,Low,Close,Trading volume,Trading value,No. of listed,Market Cap.
977,27 Jun 2019,468.07,468.52,466.19,466.19,"15,252","74,085,950",5,"636,458"
978,26 Jun 2019,468.07,476.58,468.07,476.58,"2,660","10,669,800",5,"650,640"
979,25 Jun 2019,478.00,478.00,467.17,467.17,"17,446","84,291,800",5,"637,795"
980,24 Jun 2019,458.14,468.52,458.14,468.52,"15,959","76,817,100",5,"639,641"
981,21 Jun 2019,465.22,467.76,465.22,467.76,"37,342","189,404,150",5,"638,601"
982,20 Jun 2019,452.96,463.80,452.96,463.80,"7,746","45,243,700",5,"633,191"
983,19 Jun 2019,462.13,462.89,452.20,452.96,"6,449","58,619,600",5,"618,399"
984,18 Jun 2019,452.65,463.34,452.65,461.23,"9,771","69,374,100",5,"629,693"
985,17 Jun 2019,452.65,452.65,452.65,452.65,"2,277","11,214,950",5,"617,969"
986,14 Jun 2019,462.89,462.89,452.65,452.65,"4,179","23,222,950",5,"617,969"
987,13 Jun 2019,452.65,464.76,452.65,462.89,"10,090","82,892,000",5,"631,955"
988,12 Jun 2019,463.34,463.34,452.65,452.65,"10,906","40,458,000",5,"617,969"
989,11 Jun 2019,463.34,463.78,454.76,454.76,"16,227","91,275,450",5,"620,856"
990,10 Jun 2019,461.98,463.34,461.98,463.34,"14,417","104,570,150",5,"632,565"
991,7 Jun 2019,460.11,461.98,460.11,461.98,"17,968","111,252,650",5,"630,719"
992,6 Jun 2019,448.30,460.56,448.30,460.56,"2,157","10,852,100",5,"628,773"
993,5 Jun 2019,449.28,449.28,447.85,449.28,"10,918","56,696,100",5,"613,370"
994,4 Jun 2019,435.94,449.28,435.94,449.28,"12,990","105,991,400",5,"613,370"
995,3 Jun 2019,434.27,435.18,434.27,435.18,"8,821","34,869,500",5,"594,120"
996,31 May 2019,433.75,444.96,433.75,435.03,"1,733","9,940,500",5,"593,925"
997,30 May 2019,433.16,434.73,433.16,433.30,"6,272","28,995,150",5,"591,563"
998,29 May 2019,435.49,435.49,433.16,433.16,"4,051","23,849,900",5,"591,368"
999,28 May 2019,435.94,435.94,435.04,435.04,"15,273","59,437,000",5,"593,939"
1000,27 May 2019,445.42,445.42,434.59,434.59,"8,356","39,541,350",5,"593,314"
1001,24 May 2019,434.07,444.44,434.07,444.00,"17,058","58,574,150",5,"606,161"
1002,23 May 2019,432.99,444.66,432.99,435.49,"8,505","34,015,800",5,"594,550"
1003,22 May 2019,431.56,442.92,431.56,442.92,"10,624","36,770,400",5,"604,691"
1004,21 May 2019,432.23,442.92,431.56,431.56,"4,275","38,957,800",5,"589,187"
1005,20 May 2019,418.30,441.25,418.30,441.25,"8,675","33,229,000",5,"602,415"
1006,17 May 2019,428.69,429.14,417.85,417.85,"8,340","47,749,350",5,"570,468"
1007,16 May 2019,403.78,414.16,403.78,414.16,"19,214","79,471,100",5,"565,425"
1008,15 May 2019,421.54,421.54,405.21,405.21,"14,997","76,770,000",5,"553,203"
1009,14 May 2019,437.13,437.13,422.96,422.96,"17,484","77,893,150",5,"577,444"
1010,13 May 2019,454.42,454.42,437.13,437.13,"28,504","164,484,750",5,"596,788"
1011,10 May 2019,451.94,464.20,451.94,452.99,"22,651","148,271,300",5,"618,443"
1012,9 May 2019,438.76,450.73,438.76,440.81,"19,138","98,609,350",5,"601,804"
1013,8 May 2019,426.05,428.38,426.05,428.38,"17,245","138,042,850",5,"584,845"
1014,7 May 2019,402.22,415.22,402.22,415.22,"10,711","63,737,900",5,"566,871"
1015,6 May 2019,389.39,399.33,389.39,397.01,"18,848","101,411,650",5,"542,013"
1016,3 May 2019,378.94,390.29,378.94,390.29,"7,761","32,833,300",5,"532,839"
1017,2 May 2019,378.94,380.92,378.94,378.94,"5,610","25,286,450",5,"517,336"
1018,30 Apr 2019,376.04,378.94,376.04,377.51,"5,095","15,650,400",5,"515,390"
1019,29 Apr 2019,374.62,376.04,374.62,376.04,"12,187","42,391,500",5,"513,389"
1020,26 Apr 2019,374.62,374.62,374.62,374.62,"2,462","9,193,300",5,"511,443"
1021,25 Apr 2019,373.93,375.14,372.95,375.14,"5,345","23,664,150",5,"512,153"
1022,24 Apr 2019,370.07,373.93,370.07,373.93,"5,358","28,898,500",5,"510,502"
1023,23 Apr 2019,367.18,368.08,367.18,368.08,"12,098","57,941,600",5,"502,524"
1024,22 Apr 2019,369.17,369.17,367.18,367.18,"4,266","19,547,900",5,"501,288"
1025,19 Apr 2019,367.18,370.59,367.18,370.59,"1,586","4,739,400",5,"505,945"
1026,18 Apr 2019,367.94,369.17,367.18,367.18,"4,052","15,140,500",5,"501,288"
1027,12 Apr 2019,368.29,369.37,367.38,369.37,"2,711","9,192,800",5,"504,274"
1028,11 Apr 2019,364.43,366.30,364.43,366.30,"10,562","62,467,400",5,"500,087"
1029,10 Apr 2019,366.41,367.84,366.41,366.41,"3,651","15,915,800",5,"500,241"
1030,9 Apr 2019,366.53,367.95,366.41,366.41,"12,305","63,373,600",5,"500,241"
1031,8 Apr 2019,369.27,369.27,366.53,369.03,"3,620","24,458,050",5,"503,818"
1032,5 Apr 2019,371.29,371.29,368.96,369.72,"4,464","43,931,800",5,"504,757"
1033,4 Apr 2019,369.86,369.86,367.88,369.86,"6,471","21,112,550",5,"504,953"
1034,3 Apr 2019,368.96,369.86,367.88,367.88,"2,173","11,649,100",5,"502,242"
1035,2 Apr 2019,369.86,369.86,368.44,369.86,"11,276","37,536,250",5,"504,953"
1036,29 Mar 2019,368.96,368.96,367.53,368.96,"5,294","17,547,650",5,"503,717"
